City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ushuaia,-54.8,-68.3,33.46,80,75,18.41,AR,1690347182
83,kapa'a,22.0752,-159.319,82.38,85,100,14.97,US,1690347452
84,stanley,54.868,-1.6985,52.72,94,75,4.61,GB,1690347452
85,matadi,-5.8167,13.45,66.87,92,19,3.04,CD,1690347453
86,saint-philippe,-21.3585,55.7679,72.99,72,1,6.35,RE,1690347453
87,oltinko'l,40.8011,72.1634,103.12,13,1,5.14,UZ,1690347453
88,baiti,13.745,-14.7482,77.38,89,100,3.65,SN,1690347453
89,mutoko,-17.397,32.2268,49.5,90,17,1.7,ZW,1690347453
90,mount gambier,-37.8333,140.7667,59.14,60,90,6.17,AU,1690347454
91,isafjordur,66.0755,-23.124,43.34,85,63,8.23,IS,1690347454
92,thompson,55.7435,-97.8558,60.96,67,40,12.66,CA,1690347454
93,port elizabeth,-33.918,25.5701,41.29,87,0,4.61,ZA,1690347454
94,hafnarfjordur,64.0671,-21.9377,53.47,87,75,8.05,IS,1690347454
95,berezovyy,51.6667,135.7,67.23,98,100,3.71,RU,1690347455
96,iqaluit,63.7506,-68.5145,42.53,93,100,0.0,CA,1690347455
97,batangafo,7.3008,18.2833,69.75,98,100,3.38,CF,1690347455
98,hawaiian paradise park,19.5933,-154.9731,78.31,91,100,9.22,US,1690347455
99,porto velho,-8.7619,-63.9039,78.85,69,0,0.0,BR,1690347455
100,nova sintra,14.8667,-24.7167,72.07,88,85,14.14,CV,1690347456
101,xunchang,28.4543,104.715,73.6,97,100,2.3,CN,1690347456
102,talnakh,69.4865,88.3972,76.21,46,0,1.83,RU,1690347456
103,bria,6.5423,21.9863,68.27,99,100,1.83,CF,1690347456
104,island harbour,50.724,-1.2758,54.93,90,28,5.57,GB,1690347456
105,thunder bay,48.4001,-89.3168,62.58,82,75,3.44,CA,1690347457
106,ancud,-41.8697,-73.8203,44.1,88,28,0.45,CL,1690347457
107,acarau,-2.8856,-40.12,77.77,85,41,16.08,BR,1690347457
108,tahara,34.6667,137.2667,93.94,50,83,9.31,JP,1690347457
109,semirom,31.4167,51.5667,77.09,17,0,2.73,IR,1690347457
110,lazaro cardenas,17.9583,-102.2,80.13,82,60,3.85,MX,1690347457
111,upper grand lagoon,30.1633,-85.7408,82.04,86,0,3.44,US,1690347458
112,shahecheng,36.9383,114.5058,96.96,39,0,5.88,CN,1690347458
113,las heras,-46.5419,-68.9359,25.36,66,5,4.43,AR,1690347458
114,sinabang,2.4803,96.3801,85.24,67,92,4.27,ID,1690347458
115,quellon,-43.1167,-73.6167,44.85,93,100,5.75,CL,1690347459
116,jiuquan,39.7432,98.5174,89.98,11,100,5.55,CN,1690347459
117,kushiro,42.975,144.3747,86.95,66,20,17.27,JP,1690347459
118,igrim,63.1906,64.4162,60.69,96,100,4.68,RU,1690347459
119,bilibino,68.0546,166.4372,51.42,92,100,1.41,RU,1690347459
120,portland,45.5234,-122.6762,72.18,57,0,11.5,US,1690347377
121,villa gesell,-37.2639,-56.973,52.05,93,100,7.23,AR,1690347460
122,ribeira grande,38.5167,-28.7,68.77,87,6,1.01,PT,1690347460
123,port macquarie,-31.4333,152.9167,67.89,61,17,7.78,AU,1690347441
124,whitehorse,60.7161,-135.0538,60.82,88,75,3.0,CA,1690347460
125,norfolk county,42.1668,-71.2495,68.52,96,94,1.01,US,1690347460
126,taitung city,22.7583,121.1444,82.67,94,75,12.66,TW,1690347461
127,lichtenburg,-26.152,26.1597,45.75,94,23,12.57,ZA,1690347461
128,savanna-la-mar,18.219,-78.1332,84.15,87,65,2.75,JM,1690347461
129,hauterive,46.0901,3.4459,59.76,94,84,3.62,FR,1690347461
130,moyale,3.5167,39.0584,65.17,63,81,15.14,KE,1690347461
131,fort bragg,35.139,-79.006,80.82,81,0,3.44,US,1690347462
132,bredasdorp,-34.5322,20.0403,49.57,60,97,4.34,ZA,1690347462
133,puerto lempira,15.2667,-83.7667,79.05,87,62,6.49,HN,1690347462
134,las lomitas,-24.7096,-60.593,62.1,68,100,3.27,AR,1690347462
135,hotan,37.0997,79.9269,88.56,25,25,4.56,CN,1690347462
136,mabaruma,8.2,-59.7833,73.83,99,25,2.53,GY,1690347462
137,raduzhny,62.0961,77.475,73.83,58,96,3.96,RU,1690347463
138,xining,36.6167,101.7667,78.62,34,92,5.28,CN,1690347463
139,luderitz,-26.6481,15.1594,55.9,70,99,2.42,NA,1690347463
140,ma'rib,15.4591,45.3253,93.81,17,32,4.61,YE,1690347463
141,san patricio,28.017,-97.5169,84.85,74,0,12.01,US,1690347463
142,sretensk,52.2453,117.7093,86.45,31,61,3.42,RU,1690347464
143,lagos,6.5833,3.75,75.52,95,49,3.49,NG,1690347464
144,cidreira,-30.1811,-50.2056,62.82,96,100,9.42,BR,1690347464
145,port dickson,2.5228,101.7959,89.82,69,90,7.02,MY,1690347464
146,majuro,7.0897,171.3803,82.36,83,100,3.44,MH,1690347464
147,karratha,-20.7377,116.8463,69.4,65,83,13.94,AU,1690347465
148,alderetes,-26.8167,-65.1333,49.91,87,96,8.05,AR,1690347465
149,izhmorskiy,56.194,86.6414,73.18,54,99,11.81,RU,1690347465
150,peterborough,52.5736,-0.2478,52.92,87,25,8.05,GB,1690347336
151,vila franca do campo,37.7167,-25.4333,66.61,81,16,1.68,PT,1690347465
152,klyuchi,52.2667,79.1667,84.18,27,28,4.0,RU,1690347466
153,praia da vitoria,38.7333,-27.0667,70.75,94,40,7.81,PT,1690347466
154,punta arenas,-53.15,-70.9167,32.4,75,19,12.1,CL,1690347466
155,bafra,41.5678,35.9069,74.7,57,0,8.14,TR,1690347466
156,touba,8.2833,-7.6833,68.86,99,99,4.5,CI,1690347466
157,tuy hoa,13.0833,109.3,91.47,55,37,14.43,VN,1690347466
158,turkestan,43.3333,68.25,105.03,10,0,15.55,KZ,1690347467
159,la passe,45.5549,-0.8967,59.99,87,81,8.3,FR,1690347467
160,ciudad insurgentes,25.2625,-111.7753,80.55,54,23,6.87,MX,1690347467
161,mbulu,-3.85,35.5333,54.91,77,70,9.51,TZ,1690347467
162,saint-joseph,-21.3667,55.6167,75.47,72,4,4.16,RE,1690347467
163,dodge city,37.7528,-100.0171,84.25,51,0,6.91,US,1690347468
164,oranjemund,-28.55,16.4333,55.17,79,52,14.16,NA,1690347468
165,kiunga,-6.1219,141.2906,80.46,75,98,2.48,PG,1690347468
